Respondent_ID,Persona_Cluster_Seed,Q1_Age_Group,Q2_Gender,Q3_Emirate,Q4_Monthly_Income_AED,Nationality,Occupation,Q5_Experience_Level,Q6_Days_Per_Week,Q7_Weekly_Distance_km,Q8_Terrain,Q9_Training_Goal,Q10_Foot_Width,Q11_Foot_Issues,Q12_Shoe_Priority,Q13_Sole_Type,Q14_Fit_Style,Q15_Color_Pref,Q16_Accessories,Q17_Trusted_Brands,Q18_Spend_Per_Pair_AED,Q19_Purchase_Frequency,Q20_Purchase_Channel,Q21_Brand_Switch_Motivator,Q22_Current_Shoe_Satisfaction_1_7,Q23_App_Comfort,Q24_WTP_App_AED_Month,Q25_App_Interest,Q26_Running_Motivation,Q27_Runner_Identity_1_5,Q28_Running_Club_Member,Q29_Peer_Influence_1_5,Q30_Sustainability_Importance_1_5,Q31_Min_Discount_To_Switch,Q32_Waits_For_Sales,Q33_Fitness_Apps_Used,Q34_Used_AI_Shopping_Before,Q35_Brand_Switch_Likelihood_1_5
UAE_0011,Aspirational_Beginner,25-34,Female,Dubai,"5,000-10,000",South Asian,Corporate/Salaried,Complete beginner,1-2 days,Less than 10km,Trail/Desert,Weight loss,Wide,,Durability/Value,Thin/Minimal,Snug/Sock-like,Solid neutral,Running socks,Nike; Adidas; Brooks,400-600,Once a year,Sports retailers; Online (Amazon/Noon),Professional review,4,Very comfortable,25-50 AED,Definitely would not,General fitness,5,No,5,1,20-30%,Yes,,No,2
UAE_0012,Casual_Lifestyle_Runner,35-44,Female,Dubai,"10,001-20,000",South Asian,Self-employed,Intermediate,1-2 days,Less than 10km,Beach/Sand; Track,Weight loss,Standard/Medium,Bunions; None,Style/Brand,Medium/Balanced,Standard fit,Bold/Bright,Running socks; Running belt/Hydration,No preference,200-400,Rarely/Not yet,Sports retailers; Apps/Platforms,Social media,2,Neutral,10-25 AED,Definitely would not,Doctor advice,3,No,4,2,20-30%,No,,No,5
UAE_0013,Ultra_Trail_Specialist,35-44,Male,Dubai,"10,001-20,000",East/SE Asian,Corporate/Salaried,Advanced/Competitive,3-4 days,50-80km,Beach/Sand; Trail/Desert; Track,Ultra/Trail,Narrow,,Speed/Performance,Thin/Minimal,Adjustable/Boa,Limited Edition,Compression wear,ASICS; Hoka; On Running,200-400,Every 3 months,Sports retailers,Expert AI,6,Very comfortable,10-25 AED,Neutral/Unsure,Explore outdoors,5,Yes,4,4,10-15%,Yes,Strava; Garmin; Apple Watch/Health,Yes,1
UAE_0014,Aspirational_Beginner,18-24,Non-binary,Abu Dhabi,"10,001-20,000",Western,Homemaker,Complete beginner,3-4 days,10-25km,Treadmill,No goal/fun,Standard/Medium,High arch; Shin splints,Comfort/Cushioning,Thick/Plush,Standard fit,Solid neutral,,Nike; Adidas,400-600,Rarely/Not yet,Sports retailers; Apps/Platforms,Professional review,3,Neutral,Up to 10 AED,Definitely would not,Mental health,2,No,3,4,50%+,Yes,,No,4
UAE_0015,Aspirational_Beginner,35-44,Male,Ras Al Khaimah,"10,001-20,000",Western,Homemaker,Complete beginner,3-4 days,Less than 10km,Road/Pavement; Treadmill,Weight loss,Not sure,,Durability/Value,Thick/Plush,Standard fit,Limited Edition,,Nike,Under 200,Rarely/Not yet,Brand stores; Sports retailers; Online (Amazon/Noon),Expert AI,5,Neutral,10-25 AED,Unlikely,Mental health,3,Yes,4,3,20-30%,Yes,,Yes,4
UAE_0016,Aspirational_Beginner,25-34,Male,Abu Dhabi,"5,000-10,000",GCC National,Self-employed,Experienced,3-4 days,10-25km,Treadmill,Weight loss,Standard/Medium,High arch; Knee pain,Durability/Value,Medium/Balanced,Standard fit,Bold/Bright,,New Balance; Hoka; On Running,200-400,Every 1-2 years,Sports retailers; Online (Amazon/Noon),Professional review,5,Comfortable,Won't pay,Neutral/Unsure,General fitness,5,Yes,2,5,50%+,No,,No,1
UAE_0017,Social_Community_Runner,35-44,Male,Abu Dhabi,,South Asian,Homemaker,Beginner,3-4 days,50-80km,Road/Pavement; Treadmill,5K,Standard/Medium,Plantar fasciitis,Durability/Value,Thick/Plush,Snug/Sock-like,Earthy/Natural,Custom insoles; GPS Watch,Nike; Brooks,600-900,Every 1-2 years,Online (Amazon/Noon),Expert AI,2,Comfortable,25-50 AED,Likely would use,Social/Community,3,Yes,5,4,50%+,No,,No,4
UAE_0018,Serious_Age_Grouper,55+,Male,Sharjah,"10,001-20,000",South Asian,Corporate/Salaried,Experienced,5-6 days,10-25km,Road/Pavement,Half Marathon,Standard/Medium,High arch; Plantar fasciitis,Comfort/Cushioning,Medium/Balanced,Snug/Sock-like,Solid neutral,GPS Watch,Nike,400-600,Every 4-6 months,Online (Amazon/Noon),Free trial,6,Comfortable,10-25 AED,Definitely would use,Competitive performance,4,No,2,2,10-15%,Yes,Nike Run Club,Yes,1
UAE_0019,Social_Community_Runner,25-34,Female,Dubai,"10,001-20,000",GCC National,Corporate/Salaried,Intermediate,3-4 days,10-25km,Road/Pavement,10K,Standard/Medium,,Style/Brand,Medium/Balanced,Standard fit,Solid neutral,Custom insoles; Compression wear,Nike; ASICS; Brooks; On Running,400-600,Once a year,Online (Amazon/Noon); Running specialty,Professional review,6,Neutral,Up to 10 AED,Likely would use,Competitive performance,4,Yes,5,5,20-30%,Yes,Strava; Nike Run Club,Yes,5
UAE_0020,Social_Community_Runner,35-44,Female,Fujairah,"5,000-10,000",Arab (non-GCC),Corporate/Salaried,Intermediate,5-6 days,10-25km,Road/Pavement,No goal/fun,Standard/Medium,Shin splints,Injury Prevention,Thick/Plush,Roomy toe box,Metallic/Premium,Custom insoles,ASICS,600-900,Once a year,Sports retailers,Discount,3,Comfortable,10-25 AED,Definitely would use,Weight management,3,Yes,3,3,50%+,No,Strava; Garmin,No,4
UAE_0021,Serious_Age_Grouper,45-54,Male,Abu Dhabi,"10,001-20,000",East/SE Asian,Self-employed,Experienced,3-4 days,25-50km,Road/Pavement,Full Marathon,Wide,High arch; Bunions,Comfort/Cushioning,No preference,Snug/Sock-like,Bold/Bright,Running socks; GPS Watch,Hoka; Saucony; On Running,Above 1200,Every 4-6 months,Apps/Platforms; During sales,Expert AI,3,Very comfortable,10-25 AED,Neutral/Unsure,Competitive performance,4,No,2,1,20-30%,No,Garmin,No,4
UAE_0022,Aspirational_Beginner,45-54,Female,Abu Dhabi,"Above 60,000",Western,Student,Beginner,1-2 days,Less than 10km,Treadmill,Dubai/AD Marathon,Not sure,Shin splints,Injury Prevention,Thick/Plush,Adjustable/Boa,Solid neutral,,No preference,Under 200,Rarely/Not yet,Sports retailers,Discount,4,Very comfortable,Up to 10 AED,Likely would use,Doctor advice,3,No,3,1,5% or less,Yes,Strava,No,3
UAE_0023,Social_Community_Runner,45-54,Female,Dubai,"20,001-35,000",South Asian,Fitness professional,Advanced/Competitive,1-2 days,50-80km,Road/Pavement,No goal/fun,Not sure,Knee pain; Bunions; None,Comfort/Cushioning,Medium/Balanced,Standard fit,Solid neutral,Running socks; Custom insoles,Nike; Brooks,400-600,Every 3 months,Brand stores; Online (Amazon/Noon); During sales,Friend/Community,5,Comfortable,10-25 AED,Neutral/Unsure,Mental health,4,Yes,3,4,10-15%,No,Strava; Apple Watch/Health,Yes,4
UAE_0024,Social_Community_Runner,35-44,Female,Abu Dhabi,"Above 60,000",Western,Homemaker,Intermediate,3-4 days,25-50km,Road/Pavement,10K,Standard/Medium,,Comfort/Cushioning,Thick/Plush,Adjustable/Boa,Solid neutral,,Nike; ASICS; Hoka,Above 1200,Every 4-6 months,Running specialty,Friend/Community,1,Comfortable,25-50 AED,Neutral/Unsure,Mental health,1,Yes,1,1,10-15%,Yes,Strava,No,2
UAE_0025,Social_Community_Runner,35-44,Male,Dubai,"10,001-20,000",East/SE Asian,Corporate/Salaried,Intermediate,1-2 days,10-25km,Road/Pavement,5K,Standard/Medium,Bunions; None,Speed/Performance,Medium/Balanced,Standard fit,Limited Edition,GPS Watch; Compression wear,Adidas; ASICS; Brooks; On Running,400-600,Every 4-6 months,Brand stores; Sports retailers; During sales,Professional review,4,Neutral,10-25 AED,Unlikely,Social/Community,2,Yes,5,4,20-30%,Yes,Strava; Garmin,No,3
UAE_0026,Wellness_Professional,35-44,Female,Dubai,"35,001-60,000",East/SE Asian,Student,Intermediate,1-2 days,10-25km,Treadmill,Weight loss,Standard/Medium,Flat feet/Low arch; None,Comfort/Cushioning,No preference,Snug/Sock-like,Solid neutral,Running socks; GPS Watch,Nike,600-900,Every 3 months,Brand stores; Sports retailers,Free trial,6,Very comfortable,10-25 AED,Definitely would use,Mental health,2,No,3,5,10-15%,No,Apple Watch/Health,No,3
UAE_0027,Aspirational_Beginner,25-34,Male,Abu Dhabi,"Above 60,000",South Asian,Fitness professional,Beginner,5-6 days,10-25km,Mall/Indoor,10K,Wide,Flat feet/Low arch; Knee pain; None,Injury Prevention,Medium/Balanced,Snug/Sock-like,Metallic/Premium,,Saucony; On Running,Above 1200,Once a year,Brand stores; Online (Amazon/Noon),Free trial,4,Comfortable,Won't pay,Unlikely,Weight management,2,Yes,3,3,50%+,Yes,,No,3
UAE_0028,Serious_Age_Grouper,55+,Male,Ras Al Khaimah,"35,001-60,000",Arab (non-GCC),Corporate/Salaried,Experienced,5-6 days,10-25km,Track,5K,Wide,Plantar fasciitis,Durability/Value,Thin/Minimal,Snug/Sock-like,Solid neutral,Running socks; GPS Watch; Foam roller,Adidas; ASICS; Hoka; Saucony,600-900,Every 3 months,Running specialty,Free trial,5,Comfortable,10-25 AED,Neutral/Unsure,Competitive performance,5,Yes,4,5,5% or less,No,Strava,No,2
UAE_0029,Serious_Age_Grouper,45-54,Male,Abu Dhabi,"10,001-20,000",Arab (non-GCC),Corporate/Salaried,Beginner,3-4 days,Less than 10km,Road/Pavement,Full Marathon,Not sure,Shin splints,Injury Prevention,Thick/Plush,Adjustable/Boa,Solid neutral,Custom insoles; GPS Watch; Foam roller,Nike; Hoka; Saucony; On Running,900-1200,Every 4-6 months,Brand stores; Sports retailers; Online (Amazon/Noon),Expert AI,6,Slightly uncomfortable,10-25 AED,Definitely would use,Mental health,5,Yes,1,4,5% or less,No,Strava; Garmin,No,4
UAE_0030,Aspirational_Beginner,25-34,Female,Dubai,"20,001-35,000",South Asian,Student,Complete beginner,1-2 days,10-25km,Treadmill,Weight loss,Standard/Medium,High arch; Shin splints,Comfort/Cushioning,Thick/Plush,Standard fit,Solid neutral,,Nike; New Balance; Hoka,400-600,Once a year,Online (Amazon/Noon); During sales,Professional review,3,Neutral,10-25 AED,Likely would use,Weight management,3,No,3,3,10-15%,No,,No,4
UAE_0031,Serious_Age_Grouper,45-54,Male,Abu Dhabi,"20,001-35,000",South Asian,Corporate/Salaried,Experienced,5-6 days,50-80km,Road/Pavement,No goal/fun,Wide,Flat feet/Low arch,Durability/Value,Thick/Plush,Snug/Sock-like,Limited Edition,GPS Watch,New Balance; Brooks,600-900,Once a year,Brand stores; Sports retailers; Online (Amazon/Noon),Professional review,4,Comfortable,50+ AED,Definitely would use,Competitive performance,2,Yes,2,1,20-30%,No,Strava; Garmin; Apple Watch/Health,No,1
UAE_0032,Aspirational_Beginner,45-54,Female,Abu Dhabi,"10,001-20,000",GCC National,Corporate/Salaried,Beginner,1-2 days,25-50km,Treadmill,10K,Wide,Shin splints,Injury Prevention,Medium/Balanced,Standard fit,Solid neutral,,Nike; Hoka,Under 200,Every 3 months,Sports retailers; Online (Amazon/Noon); Running specialty,Social media,4,Comfortable,Won't pay,Neutral/Unsure,Weight management,3,No,3,2,20-30%,Yes,,No,5
UAE_0033,Aspirational_Beginner,25-34,Female,Dubai,"5,000-10,000",South Asian,Student,Beginner,1-2 days,Less than 10km,Treadmill,10K,Standard/Medium,Knee pain,Durability/Value,Thick/Plush,Snug/Sock-like,Limited Edition,Running socks; Foam roller,Nike; Saucony,400-600,Once a year,Brand stores,Discount,5,Comfortable,Won't pay,Neutral/Unsure,Social/Community,2,No,1,3,10-15%,No,,No,3
UAE_0034,Casual_Lifestyle_Runner,25-34,Female,Dubai,"Below 5,000",Arab (non-GCC),Other,Beginner,I don't run yet,Less than 10km,Treadmill,No goal/fun,Narrow,,Style/Brand,No preference,Standard fit,Limited Edition,,Nike; Adidas,400-600,Every 1-2 years,Brand stores,Discount,3,Very comfortable,Won't pay,Neutral/Unsure,Social/Community,1,No,4,3,50%+,Yes,,No,5
UAE_0035,Casual_Lifestyle_Runner,18-24,Female,Fujairah,"5,000-10,000",Western,Corporate/Salaried,Beginner,1-2 days,Less than 10km,Mall/Indoor,Full Marathon,Narrow,,Durability/Value,No preference,Standard fit,Bold/Bright,Custom insoles,No preference,200-400,Every 1-2 years,Brand stores; Apps/Platforms,Social media,4,Comfortable,Up to 10 AED,Definitely would use,Weight management,1,No,3,3,10-15%,Yes,,Yes,4
UAE_0036,Wellness_Professional,18-24,Male,Abu Dhabi,"20,001-35,000",East/SE Asian,Corporate/Salaried,Experienced,I don't run yet,Less than 10km,Road/Pavement; Treadmill; Track,10K,Standard/Medium,Flat feet/Low arch; Knee pain,Lightweight,Medium/Balanced,Roomy toe box,Solid neutral,GPS Watch; Compression wear,New Balance; Saucony,400-600,Once a year,Brand stores; Online (Amazon/Noon); Running specialty,Discount,5,Comfortable,25-50 AED,Definitely would use,Mental health,3,No,5,3,50%+,No,Strava; Apple Watch/Health,Yes,4
UAE_0037,Social_Community_Runner,35-44,Female,Dubai,"20,001-35,000",Western,Fitness professional,Experienced,1-2 days,25-50km,Road/Pavement,No goal/fun,Wide,,Comfort/Cushioning,Medium/Balanced,Standard fit,Bold/Bright,,ASICS; Hoka,200-400,Once a year,During sales,Friend/Community,4,Comfortable,Up to 10 AED,Likely would use,Mental health,4,Yes,5,1,20-30%,No,Strava; Apple Watch/Health,No,3
UAE_0038,Aspirational_Beginner,25-34,Female,Dubai,"Below 5,000",East/SE Asian,Student,Intermediate,1-2 days,10-25km,Treadmill,No goal/fun,Standard/Medium,,Comfort/Cushioning,Medium/Balanced,Snug/Sock-like,Solid neutral,GPS Watch,Adidas,600-900,Rarely/Not yet,Sports retailers; Running specialty,Expert AI,3,Very comfortable,10-25 AED,Neutral/Unsure,Competitive performance,2,No,4,3,20-30%,Yes,,No,4
UAE_0039,Wellness_Professional,35-44,Non-binary,Dubai,"10,001-20,000",Western,Self-employed,Intermediate,1-2 days,10-25km,Treadmill,Weight loss,Standard/Medium,,Style/Brand,Thick/Plush,Standard fit,Solid neutral,Custom insoles; GPS Watch,Nike; Hoka,400-600,Once a year,Online (Amazon/Noon),Friend/Community,7,Very comfortable,10-25 AED,Neutral/Unsure,General fitness,5,No,4,2,20-30%,No,Garmin; Nike Run Club,Yes,4
UAE_0040,Social_Community_Runner,35-44,Female,Dubai,"5,000-10,000",Western,Self-employed,Beginner,3-4 days,25-50km,Road/Pavement,Half Marathon,Wide,,Comfort/Cushioning,No preference,Standard fit,Bold/Bright,Running socks,Nike; Adidas,400-600,Every 1-2 years,Online (Amazon/Noon); During sales,Discount,5,Comfortable,Up to 10 AED,Neutral/Unsure,Weight management,5,No,4,4,10-15%,No,,No,5
UAE_0041,Aspirational_Beginner,25-34,Male,Dubai,"10,001-20,000",,Corporate/Salaried,Intermediate,3-4 days,10-25km,Road/Pavement; Treadmill; Beach/Sand,No goal/fun,Standard/Medium,,Comfort/Cushioning,Thick/Plush,Snug/Sock-like,Solid neutral,,ASICS,400-600,Once a year,During sales,Friend/Community,4,Comfortable,10-25 AED,Likely would use,General fitness,1,No,3,2,10-15%,Yes,,No,5
UAE_0042,Social_Community_Runner,35-44,Male,Dubai,"Above 60,000",GCC National,Corporate/Salaried,Intermediate,3-4 days,10-25km,Treadmill,Weight loss,Extra Wide,High arch,Comfort/Cushioning,Medium/Balanced,Roomy toe box,Limited Edition,,Nike; New Balance,600-900,Once a year,Sports retailers; Running specialty,Friend/Community,4,Prefer in-store,50+ AED,Likely would use,Mental health,3,Yes,5,2,20-30%,Yes,,No,3
UAE_0043,Aspirational_Beginner,18-24,Female,Ras Al Khaimah,"20,001-35,000",Arab (non-GCC),Homemaker,Complete beginner,1-2 days,Less than 10km,Treadmill,No goal/fun,Standard/Medium,,Comfort/Cushioning,Medium/Balanced,Roomy toe box,Solid neutral,Running socks; Running belt/Hydration,Nike; Adidas,Under 200,Rarely/Not yet,Brand stores; Online (Amazon/Noon); During sales,Social media,3,Neutral,Up to 10 AED,Unlikely,Social/Community,3,No,2,5,20-30%,Yes,,No,5
UAE_0044,Ultra_Trail_Specialist,18-24,Male,Abu Dhabi,,Western,Homemaker,Experienced,5-6 days,80+ km,Trail/Desert,Ultra/Trail,Standard/Medium,,Durability/Value,Thin/Minimal,Standard fit,Solid neutral,GPS Watch; Running belt/Hydration,Nike; New Balance; Hoka,Above 1200,Every 4-6 months,Sports retailers,Friend/Community,5,Very comfortable,Up to 10 AED,Definitely would use,Mental health,5,Yes,4,5,10-15%,Yes,,No,3
UAE_0045,Aspirational_Beginner,25-34,Female,Dubai,"20,001-35,000",GCC National,Self-employed,Intermediate,1-2 days,Less than 10km,Treadmill,10K,Standard/Medium,,Comfort/Cushioning,Thick/Plush,Standard fit,Earthy/Natural,,Nike; Adidas; New Balance,200-400,Once a year,Sports retailers,Friend/Community,5,Neutral,Up to 10 AED,Likely would use,Weight management,2,No,2,4,10-15%,Yes,,No,3
UAE_0046,Serious_Age_Grouper,55+,Female,Abu Dhabi,"20,001-35,000",Western,Corporate/Salaried,Experienced,3-4 days,80+ km,Road/Pavement; Track,Full Marathon,Wide,Knee pain,Speed/Performance,Medium/Balanced,Roomy toe box,Solid neutral,Custom insoles; GPS Watch; Compression wear; Foam roller,Nike; New Balance; Brooks,600-900,Every 4-6 months,Brand stores; Sports retailers; Running specialty,Social media,6,Comfortable,25-50 AED,Definitely would use,Competitive performance,4,Yes,4,3,10-15%,No,Strava,No,2
UAE_0047,Social_Community_Runner,35-44,Female,Abu Dhabi,"10,001-20,000",GCC National,Corporate/Salaried,Advanced/Competitive,3-4 days,25-50km,Road/Pavement,Half Marathon,Standard/Medium,,Style/Brand,Thin/Minimal,Standard fit,Bold/Bright,Running socks; Foam roller,Nike; ASICS; Brooks,400-600,Once a year,Brand stores; Sports retailers; During sales,Expert AI,7,Comfortable,10-25 AED,Definitely would use,General fitness,4,No,5,3,50%+,Yes,Strava,Yes,5
UAE_0048,Serious_Age_Grouper,45-54,Male,Dubai,"10,001-20,000",South Asian,Other,Advanced/Competitive,5-6 days,80+ km,Road/Pavement,10K,Standard/Medium,,Speed/Performance,Medium/Balanced,Snug/Sock-like,Bold/Bright,Custom insoles,Brooks,200-400,Every 4-6 months,Sports retailers,Professional review,6,Comfortable,10-25 AED,Likely would use,Explore outdoors,5,Yes,5,3,5% or less,No,Strava; Apple Watch/Health,No,1
UAE_0049,Serious_Age_Grouper,55+,Male,Dubai,"20,001-35,000",East/SE Asian,Corporate/Salaried,Intermediate,3-4 days,25-50km,Road/Pavement,Half Marathon,Not sure,,Comfort/Cushioning,Thin/Minimal,Snug/Sock-like,Solid neutral,Running socks; Custom insoles; Compression wear,Adidas; New Balance,600-900,Every 4-6 months,Online (Amazon/Noon),Discount,5,Very comfortable,50+ AED,Definitely would use,Competitive performance,4,Yes,3,5,5% or less,No,Strava; Garmin,Yes,3
UAE_0050,Aspirational_Beginner,18-24,Male,Fujairah,"35,001-60,000",South Asian,Student,Intermediate,I don't run yet,10-25km,Treadmill; Mall/Indoor,Weight loss,Standard/Medium,,Comfort/Cushioning,No preference,Roomy toe box,Bold/Bright,,Adidas; New Balance,200-400,Rarely/Not yet,Sports retailers,Expert AI,1,Neutral,Up to 10 AED,Likely would use,Doctor advice,3,No,2,3,50%+,No,Apple Watch/Health,No,5
UAE_0051,Casual_Lifestyle_Runner,18-24,Non-binary,Fujairah,"5,000-10,000",South Asian,Homemaker,Experienced,1-2 days,Less than 10km,Mall/Indoor,No goal/fun,Standard/Medium,,Injury Prevention,Medium/Balanced,Adjustable/Boa,Bold/Bright,,Hoka,Under 200,Rarely/Not yet,Brand stores; Sports retailers; During sales,Discount,3,Very comfortable,Won't pay,Unlikely,Weight management,2,No,5,5,50%+,Yes,Strava; Apple Watch/Health,No,5
UAE_0052,Wellness_Professional,35-44,Male,Abu Dhabi,"10,001-20,000",GCC National,Self-employed,Complete beginner,3-4 days,10-25km,Treadmill,10K,Wide,,Injury Prevention,Thick/Plush,Standard fit,Solid neutral,Foam roller,Nike; New Balance,200-400,Every 1-2 years,Online (Amazon/Noon),Friend/Community,5,Neutral,10-25 AED,Likely would use,Weight management,3,Yes,4,2,20-30%,Yes,Garmin,Yes,2
UAE_0053,Casual_Lifestyle_Runner,18-24,Female,Abu Dhabi,"5,000-10,000",GCC National,Student,Intermediate,3-4 days,Less than 10km,Road/Pavement; Treadmill; Beach/Sand,No goal/fun,Not sure,Knee pain,Injury Prevention,No preference,Standard fit,Bold/Bright,Custom insoles,Adidas,400-600,Once a year,Brand stores; Sports retailers; During sales,Discount,4,Prefer in-store,Up to 10 AED,Likely would use,Weight management,1,No,3,3,20-30%,No,Apple Watch/Health,Yes,4
UAE_0054,Ultra_Trail_Specialist,18-24,Male,Ajman,"35,001-60,000",South Asian,Self-employed,Intermediate,5-6 days,80+ km,Trail/Desert,Half Marathon,Narrow,Knee pain,Injury Prevention,Thick/Plush,Roomy toe box,Earthy/Natural,Running socks; Custom insoles; GPS Watch; Compression wear,Nike; Adidas; Hoka,200-400,Once a year,Apps/Platforms,Friend/Community,3,Neutral,25-50 AED,Unlikely,General fitness,4,Yes,5,4,20-30%,No,Strava; Apple Watch/Health,No,2
