Respondent_ID,Age_Enc,Gender_Enc,Income_Enc,Experience_Enc,Days_Per_Week_Enc,Distance_Enc,Spend_Enc,Purchase_Freq_Enc,WTP_App_Enc,App_Comfort_Enc,Discount_Trigger_Enc,Q22_Current_Shoe_Satisfaction_1_7,Q27_Runner_Identity_1_5,Q29_Peer_Influence_1_5,Q30_Sustainability_Importance_1_5,Q35_Brand_Switch_Likelihood_1_5,Emirate_Dubai,Emirate_Abu_Dhabi,Emirate_Sharjah,Emirate_Ajman,Emirate_Ras_Al_Khaimah,Emirate_Fujairah,Emirate_Other_UAE,Nat_GCC_National,Nat_South_Asian,Nat_Arab_non-GCC,Nat_Western,Nat_East_SE_Asian,Nat_African,Nat_Other,Occ_Corporate_Salaried,Occ_Self-employed,Occ_Student,Occ_Fitness_professional,Occ_Homemaker,Occ_Other,Goal_No_goal_fun,Goal_Weight_loss,Goal_5K,Goal_10K,Goal_Half_Marathon,Goal_Full_Marathon,Goal_Ultra_Trail,Goal_Dubai_AD_Marathon,Priority_Comfort_Cushioning,Priority_Speed_Performance,Priority_Injury_Prevention,Priority_Durability_Value,Priority_Style_Brand,Priority_Lightweight,Motiv_Mental_health,Motiv_Weight_management,Motiv_Social_Community,Motiv_Competitive_performance,Motiv_General_fitness,Motiv_Doctor_advice,Motiv_Explore_outdoors,Brand_Nike,Brand_Adidas,Brand_ASICS,Brand_New_Balance,Brand_Hoka,Brand_Brooks,Brand_Saucony,Brand_On_Running,Acc_Running_socks,Acc_Custom_insoles,Acc_GPS_Watch,Acc_Compression_wear,Acc_Running_belt_Hydration,Acc_Foam_roller,App_Strava,App_Garmin,App_Apple_Watch_Health,App_Nike_Run_Club,Terrain_Road_Pavement,Terrain_Treadmill,Terrain_Beach_Sand,Terrain_Trail_Desert,Terrain_Track,Terrain_Mall_Indoor,Club_Member,Waits_For_Sales,Used_AI_Before,App_Interest_Binary,App_Interest_3Class,Predicted_Annual_Shoe_Spend_AED
UAE_0011,2,1,2.0,1,1,1,3,2,3,4,3,4,5,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Low,488.0
UAE_0012,3,1,3.0,3,1,1,2,0,2,2,3,2,3,4,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Low,51.0
UAE_0013,3,0,3.0,5,2,4,2,4,2,4,2,6,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,Medium,1164.0
UAE_0014,1,2,3.0,1,2,2,3,0,1,2,4,3,2,3,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Low,77.0
UAE_0015,3,0,3.0,1,2,1,1,0,2,2,3,5,3,4,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,Low,50.0
UAE_0016,2,0,2.0,4,2,2,2,1,0,3,4,5,5,2,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Medium,186.0
UAE_0017,3,0,,2,2,4,4,1,3,3,4,2,3,5,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,High,445.0
UAE_0018,5,0,3.0,4,3,2,3,3,2,3,2,6,4,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,High,1059.0
UAE_0019,2,1,3.0,3,2,2,3,2,1,2,3,6,4,5,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,High,552.0
UAE_0020,3,1,2.0,3,3,2,4,2,2,3,4,3,3,3,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,High,731.0
UAE_0021,4,0,3.0,4,2,3,6,3,2,4,3,3,4,2,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Medium,3685.0
UAE_0022,4,1,6.0,2,1,1,1,0,1,4,1,4,3,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,High,50.0
UAE_0023,4,1,4.0,5,1,4,3,4,2,3,2,5,4,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,Medium,1797.0
UAE_0024,3,1,6.0,3,2,3,6,3,3,3,2,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,Medium,2900.0
UAE_0025,3,0,3.0,3,1,2,3,3,2,2,3,4,2,5,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,Low,1166.0
UAE_0026,3,1,5.0,3,1,2,4,4,2,4,2,6,2,3,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,High,2717.0
UAE_0027,2,0,6.0,2,3,2,6,2,0,3,4,4,2,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Low,1406.0
UAE_0028,5,0,5.0,4,3,2,4,4,2,3,1,5,5,4,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium,3119.0
UAE_0029,4,0,3.0,2,2,1,5,3,2,1,1,6,5,1,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,High,2443.0
UAE_0030,2,1,4.0,1,1,2,3,2,2,2,2,3,3,3,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,High,549.0
UAE_0031,4,0,4.0,4,3,4,4,2,4,3,3,4,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,High,904.0
UAE_0032,4,1,3.0,2,1,3,1,4,0,3,3,4,3,3,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Medium,488.0
UAE_0033,2,1,2.0,2,1,1,3,2,0,3,2,5,2,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium,444.0
UAE_0034,2,1,1.0,2,0,1,3,1,0,4,4,3,1,4,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Medium,290.0
UAE_0035,1,1,2.0,2,1,1,2,1,1,3,2,4,1,3,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,High,163.0
UAE_0036,1,0,4.0,4,0,1,3,2,3,3,4,5,3,5,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,High,523.0
UAE_0037,3,1,4.0,4,1,3,2,2,1,3,3,4,4,5,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,High,263.0
UAE_0038,2,1,1.0,3,1,2,4,0,2,4,3,3,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Medium,138.0
UAE_0039,3,2,3.0,3,1,2,3,2,2,4,3,7,5,4,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,Medium,584.0
UAE_0040,3,1,2.0,2,2,3,3,1,1,3,2,5,5,4,4,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Medium,347.0
UAE_0041,2,0,3.0,3,2,2,3,2,2,3,2,4,1,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,High,571.0
UAE_0042,3,0,6.0,3,2,2,4,2,4,0,3,4,3,5,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,High,676.0
UAE_0043,1,1,4.0,1,1,1,1,0,1,2,3,3,3,2,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Low,50.0
UAE_0044,1,0,,4,3,5,6,3,1,4,2,5,5,4,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,High,3937.0
UAE_0045,2,1,4.0,3,1,1,2,2,1,2,2,5,2,2,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,High,262.0
UAE_0046,5,1,4.0,4,2,5,4,3,3,3,2,6,4,4,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,High,1422.0
UAE_0047,3,1,3.0,5,2,3,3,2,2,3,4,7,4,5,3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,High,537.0
UAE_0048,4,0,3.0,5,3,5,2,3,2,3,1,6,5,5,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,High,577.0
UAE_0049,5,0,4.0,3,2,3,4,3,4,4,1,5,4,3,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,High,1717.0
UAE_0050,1,0,5.0,3,0,2,2,0,1,2,4,1,3,2,3,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,High,50.0
UAE_0051,1,2,2.0,4,1,1,1,0,0,4,4,3,2,5,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,Low,50.0
UAE_0052,3,0,3.0,1,2,2,2,1,2,2,3,5,3,4,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,High,222.0
UAE_0053,1,1,2.0,3,2,1,3,2,1,0,3,4,1,3,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,High,544.0
UAE_0054,1,0,5.0,3,3,5,2,2,3,2,3,3,4,5,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,Low,354.0
UAE_0055,4,0,2.0,5,2,3,5,3,3,4,3,3,3,4,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,High,2790.0
UAE_0056,3,1,6.0,3,3,3,2,3,2,0,3,4,1,5,2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Medium,605.0
UAE_0057,3,0,6.0,1,0,1,2,0,1,3,4,5,3,4,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,High,59.0
UAE_0058,4,1,3.0,2,4,1,2,1,3,2,3,5,2,3,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,High,186.0
UAE_0059,5,0,1.0,1,1,2,2,0,2,3,2,5,3,5,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,High,64.0
UAE_0060,5,1,4.0,3,1,2,4,2,2,4,2,5,2,5,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,High,839.0
UAE_0061,3,2,3.0,4,1,3,1,0,0,3,3,6,3,4,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,High,50.0
UAE_0062,3,2,3.0,1,0,2,3,1,1,2,3,2,1,3,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Low,306.0
UAE_0063,2,0,3.0,2,2,1,4,3,2,4,2,2,2,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,High,1817.0
UAE_0064,2,1,3.0,2,2,4,5,2,0,4,3,6,3,4,5,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,High,1155.0
